  V_VI                 , V(C1:1)              
  1.090000000000e+000  ,2.658438646163e+000  
  1.100000000000e+000  ,2.649193264303e+000  
  1.110000000000e+000  ,2.639705783271e+000  
  1.120000000000e+000  ,2.629966812220e+000  
  1.130000000000e+000  ,2.619966375495e+000  
  1.140000000000e+000  ,2.609693770165e+000  
  1.150000000000e+000  ,2.599137604473e+000  
  1.160000000000e+000  ,2.588285609513e+000  
  1.170000000000e+000  ,2.577124662990e+000  
  1.180000000000e+000  ,2.565640569149e+000  
  1.190000000000e+000  ,2.553818101593e+000  
  1.200000000000e+000  ,2.541640708861e+000  
  1.210000000000e+000  ,2.529090535336e+000  
  1.220000000000e+000  ,2.516148061284e+000  
  1.230000000000e+000  ,2.502792142898e+000  
  1.240000000000e+000  ,2.488999520496e+000  
  1.250000000000e+000  ,2.474744820189e+000  
  1.260000000000e+000  ,2.459999920000e+000  
  1.270000000000e+000  ,2.444733960409e+000  
  1.280000000000e+000  ,2.428912448456e+000  
  1.290000000000e+000  ,2.412497185182e+000  
  1.300000000000e+000  ,2.395445033268e+000  
  1.310000000000e+000  ,2.377707800407e+000  
  1.320000000000e+000  ,2.359230401862e+000  
  1.330000000000e+000  ,2.339950512869e+000  
  1.340000000000e+000  ,2.319795813445e+000  
  1.350000000000e+000  ,2.298683349152e+000  
  1.360000000000e+000  ,2.276515054269e+000  
  1.370000000000e+000  ,2.253176254361e+000  
  1.380000000000e+000  ,2.228528051576e+000  
  1.390000000000e+000  ,2.202403754004e+000  
  1.400000000000e+000  ,2.174596582154e+000  
  1.410000000000e+000  ,2.144846835087e+000  
  1.420000000000e+000  ,2.112820234585e+000  
  1.430000000000e+000  ,2.078073980667e+000  
  1.440000000000e+000  ,2.039999910071e+000  
  1.450000000000e+000  ,1.997722466871e+000  
  1.460000000000e+000  ,1.949897857722e+000  
  1.470000000000e+000  ,1.894263981791e+000  
  1.480000000000e+000  ,1.826410132085e+000  
  1.490000000000e+000  ,1.734951193975e+000  
  1.500000000000e+000  ,1.501119278721e+000  
  1.510000000000e+000  ,1.265051121423e+000  
  1.520000000000e+000  ,1.173589384477e+000  
  1.530000000000e+000  ,1.105735569380e+000  
  1.540000000000e+000  ,1.050102120715e+000  
  1.550000000000e+000  ,1.002277530177e+000  
  1.560000000000e+000  ,9.600000894737e-001  
  1.570000000000e+000  ,9.219260192176e-001  
  1.580000000000e+000  ,8.871797653797e-001  
  1.590000000000e+000  ,8.551531649004e-001  
  1.600000000000e+000  ,8.254034178414e-001  
  1.610000000000e+000  ,7.975962459930e-001  
  1.620000000000e+000  ,7.714719484324e-001  
  1.630000000000e+000  ,7.468239986467e-001  
  1.640000000000e+000  ,7.234849457331e-001  
  1.650000000000e+000  ,7.013167861378e-001  
  1.660000000000e+000  ,6.802041865566e-001  
  1.670000000000e+000  ,6.600495893312e-001  
  1.680000000000e+000  ,6.407695981381e-001  
  1.690000000000e+000  ,6.222922570017e-001  
  1.700000000000e+000  ,6.045549667322e-001  
  1.710000000000e+000  ,5.875028652595e-001  
  1.720000000000e+000  ,5.710875515438e-001  
  1.730000000000e+000  ,5.552660679740e-001  
  1.740000000000e+000  ,5.400000800000e-001  
  1.750000000000e+000  ,5.252550973329e-001  
  1.760000000000e+000  ,5.110004795033e-001  
  1.770000000000e+000  ,4.972078713646e-001  
  1.780000000000e+000  ,4.838518989058e-001  
  1.790000000000e+000  ,4.709094821878e-001  
  1.800000000000e+000  ,4.583592892120e-001  
  1.810000000000e+000  ,4.461819075711e-001  
  1.820000000000e+000  ,4.343594019194e-001  
  1.830000000000e+000  ,4.228753486009e-001  
  1.840000000000e+000  ,4.117143899119e-001  
  1.850000000000e+000  ,4.008623488389e-001  
  1.860000000000e+000  ,3.903062298351e-001  
  1.870000000000e+000  ,3.800336288626e-001  
  1.880000000000e+000  ,3.700331865495e-001  
  1.890000000000e+000  ,3.602942204271e-001  
  1.900000000000e+000  ,3.508067239633e-001  
  1.910000000000e+000  ,3.415613597235e-001  
  1.920000000000e+000  ,3.325492863250e-001  
  1.930000000000e+000  ,3.237622027783e-001  
  1.940000000000e+000  ,3.151923919927e-001  
  1.950000000000e+000  ,3.068323970315e-001  
  1.960000000000e+000  ,2.986752997265e-001  
  1.970000000000e+000  ,2.907145096372e-001  
  1.980000000000e+000  ,2.829437864322e-001  
  1.990000000000e+000  ,2.753572514744e-001  
  2.000000000000e+000  ,2.679492635377e-001  
  2.010000000000e+000  ,2.607144955968e-001  
  2.020000000000e+000  ,2.536478972952e-001  
  2.030000000000e+000  ,2.467446202423e-001  
  2.040000000000e+000  ,2.400000612782e-001  
  2.050000000000e+000  ,2.334098572650e-001  
  2.060000000000e+000  ,2.269697912695e-001  
  2.070000000000e+000  ,2.206758659874e-001  
  2.080000000000e+000  ,2.145242582910e-001  
